Date,Test_Executed,Test_Passed,Test_Failed,Pass_Rate(%),Open_Bugs,Critical_Bugs,Code_Coverage
2024-01-01,70,43,27,61.43,29,5,35.0
2024-01-03,117,101,16,86.32,15,3,35.2
2024-01-04,70,50,20,71.43,12,6,35.3
2024-01-06,144,124,20,86.11,26,3,35.5
2024-01-07,93,66,27,70.97,24,1,35.6
2024-01-10,109,83,26,76.15,18,7,35.8
2024-01-13,83,74,9,89.16,15,9,36.0
2024-01-15,147,120,27,81.63,5,9,36.1
2024-01-16,72,66,6,91.67,16,5,36.3
2024-01-19,126,111,15,88.1,27,3,36.5
2024-01-22,120,91,29,75.83,13,6,36.6
2024-01-24,110,101,9,91.82,20,0,36.8
2024-01-25,109,99,10,90.83,18,3,36.9
2024-01-26,79,53,26,67.09,27,0,37.1
2024-01-28,79,56,23,70.89,7,1,37.3
2024-01-30,138,128,10,92.75,25,8,37.4
2024-01-31,164,147,17,89.63,29,6,37.6
2024-02-03,121,98,23,80.99,15,8,37.7
2024-02-04,90,79,11,87.78,6,4,37.9
2024-02-07,101,84,17,83.17,12,1,38.1
2024-02-10,125,116,9,92.8,15,7,38.2
2024-02-12,143,136,7,95.1,21,5,38.4
2024-02-14,152,144,8,94.74,12,6,38.5
2024-02-17,137,115,22,83.94,18,3,38.7
2024-02-18,88,73,15,82.95,13,2,38.9
2024-02-20,169,152,17,89.94,19,4,39.0
2024-02-21,77,55,22,71.43,18,4,39.2
2024-02-23,147,119,28,80.95,25,3,39.4
2024-02-24,84,62,22,73.81,29,4,39.5
2024-02-26,163,158,5,96.93,12,6,39.7
2024-02-27,95,82,13,86.32,26,5,39.8
2024-03-01,153,148,5,96.73,24,2,40.0
2024-03-04,122,97,25,79.51,26,7,40.2
2024-03-05,169,152,17,89.94,28,4,40.3
2024-03-06,115,102,13,88.7,6,8,40.5
2024-03-07,75,69,6,92.0,27,8,40.6
2024-03-09,125,97,28,77.6,21,1,40.8
2024-03-10,115,90,25,78.26,19,0,41.0
2024-03-11,83,65,18,78.31,17,7,41.1
2024-03-14,133,109,24,81.95,14,5,41.3
2024-03-16,144,124,20,86.11,18,2,41.5
2024-03-19,106,101,5,95.28,11,0,41.6
2024-03-22,125,105,20,84.0,21,2,41.8
2024-03-25,125,109,16,87.2,15,2,41.9
2024-03-28,94,82,12,87.23,24,4,42.1
2024-03-29,157,152,5,96.82,12,9,42.3
2024-04-01,87,70,17,80.46,11,2,42.4
2024-04-03,76,47,29,61.84,13,4,42.6
2024-04-06,78,70,8,89.74,20,0,42.7
2024-04-09,143,125,18,87.41,15,3,42.9
2024-04-12,81,54,27,66.67,12,3,43.1
2024-04-13,128,117,11,91.41,28,5,43.2
2024-04-16,109,87,22,79.82,11,2,43.4
2024-04-17,157,134,23,85.35,14,4,43.5
2024-04-19,117,99,18,84.62,9,6,43.7
2024-04-20,167,146,21,87.43,6,6,43.9
2024-04-21,161,153,8,95.03,28,0,44.0
2024-04-24,146,136,10,93.15,26,8,44.2
2024-04-25,126,118,8,93.65,29,7,44.4
2024-04-27,79,69,10,87.34,18,8,44.5
2024-04-29,128,118,10,92.19,19,7,44.7
2024-05-01,138,133,5,96.38,28,6,44.8
2024-05-04,160,133,27,83.12,7,5,45.0
2024-05-06,84,63,21,75.0,14,3,45.2
2024-05-07,92,73,19,79.35,26,8,45.3
2024-05-08,103,92,11,89.32,19,5,45.5
2024-05-10,142,129,13,90.85,27,4,45.6
2024-05-12,126,106,20,84.13,19,0,45.8
2024-05-14,111,100,11,90.09,21,8,46.0
2024-05-15,153,126,27,82.35,8,5,46.1
2024-05-16,151,142,9,94.04,20,4,46.3
2024-05-18,106,77,29,72.64,14,4,46.5
2024-05-19,134,112,22,83.58,6,8,46.6
2024-05-22,138,110,28,79.71,26,7,46.8
2024-05-23,115,90,25,78.26,13,8,46.9
2024-05-25,92,71,21,77.17,10,5,47.1
2024-05-27,135,113,22,83.7,6,4,47.3
2024-05-30,104,77,27,74.04,23,8,47.4
2024-06-01,157,143,14,91.08,29,0,47.6
2024-06-04,124,111,13,89.52,6,2,47.7
2024-06-06,76,56,20,73.68,27,7,47.9
2024-06-07,109,89,20,81.65,9,2,48.1
2024-06-08,107,91,16,85.05,28,3,48.2
2024-06-09,98,86,12,87.76,28,4,48.4
2024-06-12,128,105,23,82.03,27,9,48.5
2024-06-15,155,140,15,90.32,20,7,48.7
2024-06-16,96,78,18,81.25,7,1,48.9
2024-06-17,152,131,21,86.18,15,3,49.0
2024-06-18,95,70,25,73.68,23,6,49.2
2024-06-20,135,123,12,91.11,27,1,49.4
2024-06-21,105,85,20,80.95,19,7,49.5
2024-06-22,134,113,21,84.33,14,2,49.7
2024-06-24,100,72,28,72.0,25,0,49.8
2024-06-27,102,81,21,79.41,6,2,50.0
2024-06-30,104,94,10,90.38,5,5,50.2
