date,module_name,covered_line_number,total_line_number,coverage_percentage
2024/02/01,m1,620,873,71.02
2024/02/01,m2,301,378,79.63
2024/02/01,m3,307,761,40.34
2024/02/01,m4,103,380,27.11
2024/02/01,m5,124,384,32.29
2024/02/01,m6,418,984,42.48
2024/02/02,m1,136,272,50.0
2024/02/02,m2,488,548,89.05
2024/02/02,m3,139,635,21.89
2024/02/02,m4,707,812,87.07
2024/02/02,m5,202,553,36.53
2024/02/02,m6,544,962,56.55
2024/02/03,m1,120,163,73.62
2024/02/03,m2,783,850,92.12
2024/02/03,m3,737,754,97.75
2024/02/03,m4,295,411,71.78
2024/02/03,m5,155,352,44.03
2024/02/03,m6,253,260,97.31
2024/02/04,m1,101,101,100.0
2024/02/04,m2,591,993,59.52
2024/02/04,m3,539,997,54.06
2024/02/04,m4,173,656,26.37
2024/02/04,m5,152,440,34.55
2024/02/04,m6,509,670,75.97
2024/02/05,m1,138,147,93.88
2024/02/05,m2,314,347,90.49
2024/02/05,m3,121,352,34.38
2024/02/05,m4,258,769,33.55
2024/02/05,m5,300,459,65.36
2024/02/05,m6,124,219,56.62
2024/02/06,m1,783,800,97.88
2024/02/06,m2,451,534,84.46
2024/02/06,m3,724,951,76.13
2024/02/06,m4,213,246,86.59
2024/02/06,m5,479,869,55.12
2024/02/06,m6,385,879,43.8
2024/02/07,m1,445,859,51.8
2024/02/07,m2,484,861,56.21
2024/02/07,m3,714,793,90.04
2024/02/07,m4,307,398,77.14
2024/02/07,m5,175,556,31.47
2024/02/07,m6,485,749,64.75
2024/02/08,m1,315,528,59.66
2024/02/08,m2,329,371,88.68
2024/02/08,m3,170,224,75.89
2024/02/08,m4,391,404,96.78
2024/02/08,m5,369,842,43.82
2024/02/08,m6,107,152,70.39
2024/02/09,m1,495,524,94.47
2024/02/09,m2,318,570,55.79
2024/02/09,m3,161,397,40.55
2024/02/09,m4,575,632,90.98
2024/02/09,m5,324,495,65.45
2024/02/09,m6,353,522,67.62
2024/02/10,m1,885,892,99.22
2024/02/10,m2,235,283,83.04
2024/02/10,m3,196,730,26.85
2024/02/10,m4,579,744,77.82
2024/02/10,m5,374,702,53.28
2024/02/10,m6,295,663,44.49
2024/02/11,m1,489,734,66.62
2024/02/11,m2,976,998,97.8
2024/02/11,m3,677,775,87.35
2024/02/11,m4,722,755,95.63
2024/02/11,m5,422,573,73.65
2024/02/11,m6,108,252,42.86
2024/02/12,m1,318,614,51.79
2024/02/12,m2,448,638,70.22
2024/02/12,m3,229,800,28.62
2024/02/12,m4,637,671,94.93
2024/02/12,m5,106,556,19.06
2024/02/12,m6,722,869,83.08
2024/02/13,m1,444,593,74.87
2024/02/13,m2,228,371,61.46
2024/02/13,m3,537,797,67.38
2024/02/13,m4,583,926,62.96
2024/02/13,m5,401,708,56.64
2024/02/13,m6,102,108,94.44
2024/02/14,m1,281,612,45.92
2024/02/14,m2,127,224,56.7
2024/02/14,m3,279,283,98.59
2024/02/14,m4,167,379,44.06
2024/02/14,m5,568,684,83.04
2024/02/14,m6,315,501,62.87
2024/02/15,m1,638,650,98.15
2024/02/15,m2,342,555,61.62
2024/02/15,m3,433,592,73.14
2024/02/15,m4,407,769,52.93
2024/02/15,m5,125,929,13.46
2024/02/15,m6,307,988,31.07
2024/02/16,m1,197,466,42.27
2024/02/16,m2,199,290,68.62
2024/02/16,m3,540,633,85.31
2024/02/16,m4,613,803,76.34
2024/02/16,m5,178,285,62.46
2024/02/16,m6,622,787,79.03
2024/02/17,m1,730,900,81.11
2024/02/17,m2,849,919,92.38
2024/02/17,m3,395,676,58.43
2024/02/17,m4,611,753,81.14
2024/02/17,m5,587,845,69.47
2024/02/17,m6,216,704,30.68
2024/02/18,m1,646,833,77.55
2024/02/18,m2,199,332,59.94
2024/02/18,m3,173,309,55.99
2024/02/18,m4,827,983,84.13
2024/02/18,m5,516,860,60.0
2024/02/18,m6,891,928,96.01
2024/02/19,m1,159,533,29.83
2024/02/19,m2,236,591,39.93
2024/02/19,m3,122,951,12.83
2024/02/19,m4,122,459,26.58
2024/02/19,m5,470,593,79.26
2024/02/19,m6,382,907,42.12
2024/02/20,m1,409,417,98.08
2024/02/20,m2,469,833,56.3
2024/02/20,m3,164,450,36.44
2024/02/20,m4,292,617,47.33
2024/02/20,m5,333,483,68.94
2024/02/20,m6,166,277,59.93
