Date,Test_Executed,Test_Passed,Test_Failed,Pass_Rate(%),Open_Bugs,Critical_Bugs,Code_Coverage
2024-01-01,45,22,23,48.89,6,8,20.0
2024-01-03,129,102,27,79.07,11,8,20.2
2024-01-04,120,103,17,85.83,17,6,20.3
2024-01-07,94,84,10,89.36,15,3,20.5
2024-01-10,73,68,5,93.15,20,7,20.6
2024-01-13,74,66,8,89.19,22,4,20.8
2024-01-15,104,91,13,87.5,8,2,21.0
2024-01-18,43,33,10,76.74,11,8,21.1
2024-01-20,50,23,27,46.0,11,6,21.3
2024-01-21,53,44,9,83.02,26,9,21.4
2024-01-23,70,54,16,77.14,26,2,21.6
2024-01-25,49,42,7,85.71,10,0,21.8
2024-01-26,46,17,29,36.96,28,1,21.9
2024-01-29,132,121,11,91.67,29,8,22.1
2024-01-31,113,84,29,74.34,7,9,22.2
2024-02-03,107,101,6,94.39,10,2,22.4
2024-02-04,132,123,9,93.18,22,1,22.6
2024-02-05,107,99,8,92.52,25,4,22.7
2024-02-06,69,45,24,65.22,20,0,22.9
2024-02-07,137,124,13,90.51,18,9,23.0
2024-02-10,55,28,27,50.91,15,9,23.2
2024-02-11,128,100,28,78.12,29,4,23.4
2024-02-14,40,27,13,67.5,27,9,23.5
2024-02-15,50,22,28,44.0,7,5,23.7
2024-02-18,40,33,7,82.5,17,7,23.8
2024-02-21,130,101,29,77.69,24,6,24.0
2024-02-24,83,73,10,87.95,12,1,24.1
2024-02-25,139,111,28,79.86,25,4,24.3
2024-02-26,61,39,22,63.93,29,1,24.5
2024-02-27,52,36,16,69.23,17,9,24.6
2024-02-28,53,27,26,50.94,17,2,24.8
2024-03-01,105,96,9,91.43,5,7,24.9
2024-03-02,50,32,18,64.0,9,6,25.1
2024-03-05,100,94,6,94.0,20,5,25.3
2024-03-06,124,103,21,83.06,25,7,25.4
2024-03-09,79,59,20,74.68,8,4,25.6
2024-03-11,138,119,19,86.23,25,5,25.7
2024-03-14,83,62,21,74.7,19,2,25.9
2024-03-15,50,31,19,62.0,27,8,26.1
2024-03-18,136,120,16,88.24,5,9,26.2
2024-03-21,138,118,20,85.51,13,2,26.4
2024-03-24,126,112,14,88.89,21,0,26.5
2024-03-26,40,31,9,77.5,21,3,26.7
2024-03-29,102,74,28,72.55,14,6,26.9
2024-04-01,41,12,29,29.27,18,4,27.0
2024-04-03,93,81,12,87.1,22,8,27.2
2024-04-06,103,96,7,93.2,28,7,27.3
2024-04-07,45,23,22,51.11,26,1,27.5
2024-04-10,63,40,23,63.49,27,1,27.7
2024-04-12,52,24,28,46.15,25,7,27.8
2024-04-13,136,129,7,94.85,17,8,28.0
2024-04-15,135,119,16,88.15,28,9,28.1
2024-04-18,77,69,8,89.61,20,8,28.3
2024-04-19,126,104,22,82.54,7,0,28.5
2024-04-20,109,92,17,84.4,14,8,28.6
2024-04-23,47,31,16,65.96,15,0,28.8
2024-04-24,119,98,21,82.35,19,0,28.9
2024-04-26,64,58,6,90.62,6,3,29.1
2024-04-28,58,36,22,62.07,10,6,29.3
2024-04-29,76,49,27,64.47,11,8,29.4
2024-05-02,61,40,21,65.57,6,7,29.6
2024-05-04,72,48,24,66.67,16,4,29.7
2024-05-05,131,121,10,92.37,9,5,29.9
2024-05-07,103,83,20,80.58,19,3,30.1
2024-05-10,114,93,21,81.58,18,4,30.2
2024-05-12,129,106,23,82.17,25,7,30.4
2024-05-14,139,130,9,93.53,14,4,30.5
2024-05-16,92,63,29,68.48,5,5,30.7
2024-05-17,40,22,18,55.0,15,7,30.9
2024-05-18,110,102,8,92.73,16,7,31.0
2024-05-19,96,90,6,93.75,6,0,31.2
2024-05-21,62,41,21,66.13,28,5,31.3
2024-05-23,103,98,5,95.15,15,4,31.5
2024-05-25,50,34,16,68.0,24,7,31.6
2024-05-27,99,92,7,92.93,9,7,31.8
2024-05-29,78,65,13,83.33,8,4,32.0
2024-05-30,58,30,28,51.72,23,0,32.1
2024-06-01,107,98,9,91.59,17,0,32.3
2024-06-03,96,71,25,73.96,21,7,32.4
2024-06-05,90,67,23,74.44,27,7,32.6
2024-06-08,69,52,17,75.36,7,1,32.8
2024-06-11,121,116,5,95.87,8,1,32.9
2024-06-13,71,57,14,80.28,25,5,33.1
2024-06-15,129,115,14,89.15,8,3,33.2
2024-06-17,78,66,12,84.62,17,0,33.4
2024-06-18,123,106,17,86.18,14,1,33.6
2024-06-19,109,94,15,86.24,13,0,33.7
2024-06-22,78,61,17,78.21,29,9,33.9
2024-06-24,64,57,7,89.06,18,2,34.0
2024-06-27,88,63,25,71.59,22,3,34.2
2024-06-28,69,40,29,57.97,21,3,34.4
2024-06-29,116,104,12,89.66,11,3,34.5
2024-07-01,131,120,11,91.6,6,9,34.7
2024-07-03,100,89,11,89.0,15,3,34.8
2024-07-06,64,45,19,70.31,26,3,35.0
2024-07-08,93,75,18,80.65,21,7,35.2
2024-07-10,82,57,25,69.51,13,1,35.3
2024-07-13,59,37,22,62.71,9,1,35.5
2024-07-14,43,17,26,39.53,21,7,35.6
2024-07-16,93,83,10,89.25,15,0,35.8
2024-07-18,46,23,23,50.0,23,1,36.0
2024-07-19,54,34,20,62.96,24,8,36.1
2024-07-22,133,118,15,88.72,11,6,36.3
2024-07-23,134,129,5,96.27,28,0,36.4
2024-07-26,49,41,8,83.67,12,6,36.6
2024-07-28,92,85,7,92.39,11,5,36.8
2024-07-30,41,34,7,82.93,12,0,36.9
2024-08-01,87,63,24,72.41,18,6,37.1
2024-08-02,56,44,12,78.57,20,5,37.2
2024-08-03,65,45,20,69.23,20,6,37.4
2024-08-06,99,71,28,71.72,25,9,37.6
2024-08-07,43,29,14,67.44,22,6,37.7
2024-08-10,83,63,20,75.9,16,7,37.9
2024-08-13,53,35,18,66.04,14,6,38.0
2024-08-16,50,45,5,90.0,5,9,38.2
2024-08-17,86,75,11,87.21,5,9,38.4
2024-08-18,91,70,21,76.92,22,4,38.5
2024-08-20,42,26,16,61.9,28,8,38.7
2024-08-22,93,69,24,74.19,14,6,38.8
2024-08-25,97,72,25,74.23,5,0,39.0
2024-08-27,43,36,7,83.72,21,8,39.1
2024-08-29,83,54,29,65.06,15,0,39.3
2024-08-31,66,58,8,87.88,5,4,39.5
2024-09-02,57,39,18,68.42,19,0,39.6
2024-09-04,120,104,16,86.67,7,6,39.8
2024-09-07,49,34,15,69.39,25,6,39.9
2024-09-09,82,70,12,85.37,23,2,40.1
2024-09-11,47,29,18,61.7,20,8,40.3
2024-09-14,74,63,11,85.14,28,4,40.4
2024-09-16,63,42,21,66.67,12,3,40.6
2024-09-19,114,88,26,77.19,7,2,40.7
2024-09-20,41,25,16,60.98,8,2,40.9
2024-09-23,134,107,27,79.85,14,3,41.1
2024-09-25,61,40,21,65.57,29,8,41.2
2024-09-27,136,109,27,80.15,27,7,41.4
2024-09-30,48,29,19,60.42,18,5,41.5
2024-10-02,54,31,23,57.41,21,7,41.7
2024-10-03,55,42,13,76.36,26,5,41.9
2024-10-06,90,79,11,87.78,29,5,42.0
2024-10-08,131,115,16,87.79,17,6,42.2
2024-10-10,63,49,14,77.78,15,5,42.3
2024-10-11,99,82,17,82.83,15,4,42.5
2024-10-14,40,18,22,45.0,5,5,42.7
2024-10-15,73,58,15,79.45,29,2,42.8
2024-10-16,89,73,16,82.02,11,2,43.0
2024-10-17,64,41,23,64.06,10,1,43.1
2024-10-20,95,66,29,69.47,27,5,43.3
2024-10-23,107,82,25,76.64,11,4,43.5
2024-10-24,127,98,29,77.17,27,2,43.6
2024-10-26,83,73,10,87.95,23,2,43.8
2024-10-29,121,100,21,82.64,17,5,43.9
2024-10-31,56,39,17,69.64,9,4,44.1
2024-11-01,121,111,10,91.74,15,2,44.3
2024-11-04,69,60,9,86.96,19,5,44.4
2024-11-05,103,98,5,95.15,9,9,44.6
2024-11-06,60,37,23,61.67,25,7,44.7
2024-11-07,52,37,15,71.15,19,8,44.9
2024-11-09,105,83,22,79.05,22,6,45.1
2024-11-10,90,84,6,93.33,28,1,45.2
2024-11-11,86,78,8,90.7,19,8,45.4
2024-11-12,111,104,7,93.69,18,4,45.5
2024-11-15,54,26,28,48.15,12,5,45.7
2024-11-16,138,112,26,81.16,27,5,45.9
2024-11-18,49,26,23,53.06,14,5,46.0
2024-11-20,112,87,25,77.68,28,7,46.2
2024-11-22,87,58,29,66.67,6,9,46.3
2024-11-23,102,79,23,77.45,12,0,46.5
2024-11-26,91,83,8,91.21,20,2,46.6
2024-11-28,109,85,24,77.98,29,4,46.8
2024-11-29,133,128,5,96.24,12,2,47.0
2024-11-30,131,125,6,95.42,15,8,47.1
2024-12-01,101,84,17,83.17,10,6,47.3
2024-12-02,40,22,18,55.0,14,6,47.4
2024-12-03,100,74,26,74.0,25,9,47.6
2024-12-06,111,94,17,84.68,23,9,47.8
2024-12-09,51,38,13,74.51,21,8,47.9
2024-12-11,138,119,19,86.23,8,3,48.1
2024-12-12,83,63,20,75.9,7,6,48.2
2024-12-13,112,101,11,90.18,26,5,48.4
2024-12-15,68,53,15,77.94,19,3,48.6
2024-12-16,126,103,23,81.75,6,4,48.7
2024-12-17,117,109,8,93.16,12,1,48.9
2024-12-18,71,56,15,78.87,7,4,49.0
2024-12-19,47,36,11,76.6,28,4,49.2
2024-12-22,90,74,16,82.22,7,4,49.4
2024-12-24,115,95,20,82.61,15,7,49.5
2024-12-25,55,31,24,56.36,21,8,49.7
2024-12-27,122,115,7,94.26,10,1,49.8
2024-12-30,107,87,20,81.31,14,8,50.0
