date,module_name,covered_line_number,total_line_number,coverage_percentage
2024/02/01,m1,147,188,78.19
2024/02/01,m2,415,435,95.4
2024/02/01,m3,455,496,91.73
2024/02/01,m4,760,794,95.72
2024/02/01,m5,178,793,22.45
2024/02/01,m6,213,583,36.54
2024/02/02,m1,311,406,76.6
2024/02/02,m2,122,705,17.3
2024/02/02,m3,221,690,32.03
2024/02/02,m4,567,785,72.23
2024/02/02,m5,405,416,97.36
2024/02/02,m6,198,256,77.34
2024/02/03,m1,238,569,41.83
2024/02/03,m2,186,561,33.16
2024/02/03,m3,547,721,75.87
2024/02/03,m4,232,875,26.51
2024/02/03,m5,490,725,67.59
2024/02/03,m6,312,512,60.94
2024/02/04,m1,340,875,38.86
2024/02/04,m2,106,115,92.17
2024/02/04,m3,289,855,33.8
2024/02/04,m4,391,450,86.89
2024/02/04,m5,546,547,99.82
2024/02/04,m6,213,333,63.96
2024/02/05,m1,318,744,42.74
2024/02/05,m2,136,154,88.31
2024/02/05,m3,129,462,27.92
2024/02/05,m4,324,969,33.44
2024/02/05,m5,586,883,66.36
2024/02/05,m6,173,210,82.38
2024/02/06,m1,181,538,33.64
2024/02/06,m2,100,101,99.01
2024/02/06,m3,321,755,42.52
2024/02/06,m4,101,102,99.02
2024/02/06,m5,277,387,71.58
2024/02/06,m6,191,276,69.2
2024/02/07,m1,467,962,48.54
2024/02/07,m2,255,562,45.37
2024/02/07,m3,690,726,95.04
2024/02/07,m4,756,985,76.75
2024/02/07,m5,130,570,22.81
2024/02/07,m6,217,291,74.57
2024/02/08,m1,684,744,91.94
2024/02/08,m2,370,974,37.99
2024/02/08,m3,875,960,91.15
2024/02/08,m4,140,165,84.85
2024/02/08,m5,399,857,46.56
2024/02/08,m6,332,345,96.23
2024/02/09,m1,125,162,77.16
2024/02/09,m2,446,817,54.59
2024/02/09,m3,529,860,61.51
2024/02/09,m4,312,509,61.3
2024/02/09,m5,379,716,52.93
2024/02/09,m6,255,281,90.75
2024/02/10,m1,100,162,61.73
2024/02/10,m2,373,644,57.92
2024/02/10,m3,359,422,85.07
2024/02/10,m4,198,498,39.76
2024/02/10,m5,219,251,87.25
2024/02/10,m6,508,816,62.25
2024/02/11,m1,601,682,88.12
2024/02/11,m2,103,175,58.86
2024/02/11,m3,486,523,92.93
2024/02/11,m4,338,716,47.21
2024/02/11,m5,621,834,74.46
2024/02/11,m6,476,817,58.26
2024/02/12,m1,422,847,49.82
2024/02/12,m2,291,781,37.26
2024/02/12,m3,279,318,87.74
2024/02/12,m4,195,927,21.04
2024/02/12,m5,248,362,68.51
2024/02/12,m6,169,352,48.01
2024/02/13,m1,152,164,92.68
2024/02/13,m2,110,527,20.87
2024/02/13,m3,505,603,83.75
2024/02/13,m4,497,689,72.13
2024/02/13,m5,497,927,53.61
2024/02/13,m6,207,336,61.61
2024/02/14,m1,154,355,43.38
2024/02/14,m2,135,774,17.44
2024/02/14,m3,112,943,11.88
2024/02/14,m4,425,737,57.67
2024/02/14,m5,220,252,87.3
2024/02/14,m6,183,303,60.4
2024/02/15,m1,132,161,81.99
2024/02/15,m2,433,937,46.21
2024/02/15,m3,537,756,71.03
2024/02/15,m4,385,654,58.87
2024/02/15,m5,113,803,14.07
2024/02/15,m6,484,774,62.53
2024/02/16,m1,287,523,54.88
2024/02/16,m2,457,695,65.76
2024/02/16,m3,406,521,77.93
2024/02/16,m4,310,454,68.28
2024/02/16,m5,195,530,36.79
2024/02/16,m6,592,708,83.62
2024/02/17,m1,222,693,32.03
2024/02/17,m2,316,317,99.68
2024/02/17,m3,290,697,41.61
2024/02/17,m4,335,680,49.26
2024/02/17,m5,172,488,35.25
2024/02/17,m6,158,547,28.88
2024/02/18,m1,265,415,63.86
2024/02/18,m2,161,177,90.96
2024/02/18,m3,161,873,18.44
2024/02/18,m4,320,359,89.14
2024/02/18,m5,106,107,99.07
2024/02/18,m6,714,800,89.25
2024/02/19,m1,503,579,86.87
2024/02/19,m2,163,323,50.46
2024/02/19,m3,448,474,94.51
2024/02/19,m4,674,975,69.13
2024/02/19,m5,197,979,20.12
2024/02/19,m6,525,968,54.24
2024/02/20,m1,171,621,27.54
2024/02/20,m2,160,160,100.0
2024/02/20,m3,124,687,18.05
2024/02/20,m4,275,771,35.67
2024/02/20,m5,346,451,76.72
2024/02/20,m6,185,194,95.36
2024/02/21,m1,291,951,30.6
2024/02/21,m2,108,144,75.0
2024/02/21,m3,796,890,89.44
2024/02/21,m4,126,158,79.75
2024/02/21,m5,651,703,92.6
2024/02/21,m6,157,677,23.19
2024/02/22,m1,233,689,33.82
2024/02/22,m2,285,294,96.94
2024/02/22,m3,384,604,63.58
2024/02/22,m4,513,720,71.25
2024/02/22,m5,520,563,92.36
2024/02/22,m6,476,677,70.31
2024/02/23,m1,122,204,59.8
2024/02/23,m2,145,945,15.34
2024/02/23,m3,378,818,46.21
2024/02/23,m4,207,212,97.64
2024/02/23,m5,167,985,16.95
2024/02/23,m6,656,774,84.75
2024/02/24,m1,380,565,67.26
2024/02/24,m2,191,222,86.04
2024/02/24,m3,276,348,79.31
2024/02/24,m4,437,910,48.02
2024/02/24,m5,140,162,86.42
2024/02/24,m6,224,405,55.31
2024/02/25,m1,464,846,54.85
2024/02/25,m2,116,808,14.36
2024/02/25,m3,483,831,58.12
2024/02/25,m4,344,525,65.52
2024/02/25,m5,412,878,46.92
2024/02/25,m6,376,913,41.18
2024/02/26,m1,359,363,98.9
2024/02/26,m2,355,490,72.45
2024/02/26,m3,602,763,78.9
2024/02/26,m4,410,514,79.77
2024/02/26,m5,172,375,45.87
2024/02/26,m6,119,776,15.34
2024/02/27,m1,254,446,56.95
2024/02/27,m2,636,724,87.85
2024/02/27,m3,112,857,13.07
2024/02/27,m4,154,559,27.55
2024/02/27,m5,291,380,76.58
2024/02/27,m6,245,541,45.29
2024/02/28,m1,124,475,26.11
2024/02/28,m2,278,565,49.2
2024/02/28,m3,166,277,59.93
2024/02/28,m4,502,895,56.09
2024/02/28,m5,674,784,85.97
2024/02/28,m6,297,785,37.83
2024/02/29,m1,172,366,46.99
2024/02/29,m2,335,491,68.23
2024/02/29,m3,377,441,85.49
2024/02/29,m4,289,482,59.96
2024/02/29,m5,125,138,90.58
2024/02/29,m6,487,604,80.63
2024/03/01,m1,602,944,63.77
2024/03/01,m2,310,521,59.5
2024/03/01,m3,133,139,95.68
2024/03/01,m4,124,183,67.76
2024/03/01,m5,960,976,98.36
2024/03/01,m6,625,987,63.32
2024/03/02,m1,137,174,78.74
2024/03/02,m2,478,878,54.44
2024/03/02,m3,178,450,39.56
2024/03/02,m4,162,236,68.64
2024/03/02,m5,686,952,72.06
2024/03/02,m6,182,243,74.9
2024/03/03,m1,196,336,58.33
2024/03/03,m2,327,343,95.34
2024/03/03,m3,512,644,79.5
2024/03/03,m4,709,911,77.83
2024/03/03,m5,212,375,56.53
2024/03/03,m6,423,491,86.15
2024/03/04,m1,467,476,98.11
