date,module_name,covered_line_number,total_line_number,coverage_percentage
2024/02/01,m1,165,875,18.86
2024/02/01,m2,144,210,68.57
2024/02/01,m3,441,526,83.84
2024/02/01,m4,139,273,50.92
2024/02/01,m5,111,189,58.73
2024/02/01,m6,710,912,77.85
2024/02/02,m1,163,400,40.75
2024/02/02,m2,271,577,46.97
2024/02/02,m3,560,761,73.59
2024/02/02,m4,234,550,42.55
2024/02/02,m5,192,850,22.59
2024/02/02,m6,334,668,50.0
2024/02/03,m1,102,103,99.03
2024/02/03,m2,381,650,58.62
2024/02/03,m3,212,913,23.22
2024/02/03,m4,700,936,74.79
2024/02/03,m5,159,379,41.95
2024/02/03,m6,896,998,89.78
2024/02/04,m1,124,598,20.74
2024/02/04,m2,345,846,40.78
2024/02/04,m3,639,909,70.3
2024/02/04,m4,327,370,88.38
2024/02/04,m5,195,879,22.18
2024/02/04,m6,122,344,35.47
2024/02/05,m1,691,869,79.52
2024/02/05,m2,219,803,27.27
2024/02/05,m3,421,514,81.91
2024/02/05,m4,125,160,78.12
2024/02/05,m5,593,802,73.94
2024/02/05,m6,128,291,43.99
2024/02/06,m1,105,194,54.12
2024/02/06,m2,304,434,70.05
2024/02/06,m3,242,313,77.32
2024/02/06,m4,604,676,89.35
2024/02/06,m5,150,270,55.56
2024/02/06,m6,263,281,93.59
2024/02/07,m1,215,263,81.75
2024/02/07,m2,411,442,92.99
2024/02/07,m3,411,733,56.07
2024/02/07,m4,544,578,94.12
2024/02/07,m5,194,622,31.19
2024/02/07,m6,496,794,62.47
2024/02/08,m1,111,117,94.87
2024/02/08,m2,712,801,88.89
2024/02/08,m3,103,103,100.0
2024/02/08,m4,192,577,33.28
2024/02/08,m5,476,790,60.25
2024/02/08,m6,145,232,62.5
2024/02/09,m1,463,830,55.78
2024/02/09,m2,614,973,63.1
2024/02/09,m3,299,830,36.02
2024/02/09,m4,111,261,42.53
2024/02/09,m5,227,347,65.42
2024/02/09,m6,133,172,77.33
2024/02/10,m1,254,814,31.2
2024/02/10,m2,100,443,22.57
2024/02/10,m3,196,382,51.31
2024/02/10,m4,235,571,41.16
2024/02/10,m5,530,926,57.24
2024/02/10,m6,251,402,62.44
2024/02/11,m1,212,300,70.67
2024/02/11,m2,876,910,96.26
2024/02/11,m3,177,226,78.32
2024/02/11,m4,656,805,81.49
2024/02/11,m5,492,700,70.29
2024/02/11,m6,159,931,17.08
2024/02/12,m1,795,883,90.03
2024/02/12,m2,149,431,34.57
2024/02/12,m3,682,997,68.41
2024/02/12,m4,136,268,50.75
2024/02/12,m5,491,653,75.19
2024/02/12,m6,149,172,86.63
2024/02/13,m1,442,908,48.68
2024/02/13,m2,752,814,92.38
2024/02/13,m3,254,767,33.12
2024/02/13,m4,112,143,78.32
2024/02/13,m5,220,265,83.02
2024/02/13,m6,403,989,40.75
2024/02/14,m1,303,566,53.53
2024/02/14,m2,122,284,42.96
2024/02/14,m3,315,501,62.87
2024/02/14,m4,623,659,94.54
2024/02/14,m5,371,562,66.01
2024/02/14,m6,490,855,57.31
2024/02/15,m1,276,813,33.95
2024/02/15,m2,196,212,92.45
2024/02/15,m3,146,254,57.48
2024/02/15,m4,458,739,61.98
2024/02/15,m5,434,791,54.87
2024/02/15,m6,351,907,38.7
2024/02/16,m1,186,311,59.81
2024/02/16,m2,113,236,47.88
2024/02/16,m3,170,235,72.34
2024/02/16,m4,462,499,92.59
2024/02/16,m5,217,731,29.69
2024/02/16,m6,236,320,73.75
2024/02/17,m1,371,448,82.81
2024/02/17,m2,122,637,19.15
2024/02/17,m3,477,753,63.35
2024/02/17,m4,242,277,87.36
2024/02/17,m5,952,966,98.55
2024/02/17,m6,104,245,42.45
2024/02/18,m1,129,155,83.23
2024/02/18,m2,520,893,58.23
2024/02/18,m3,384,506,75.89
2024/02/18,m4,502,865,58.03
2024/02/18,m5,782,941,83.1
2024/02/18,m6,551,825,66.79
2024/02/19,m1,191,765,24.97
2024/02/19,m2,187,187,100.0
2024/02/19,m3,686,748,91.71
2024/02/19,m4,304,903,33.67
2024/02/19,m5,118,119,99.16
2024/02/19,m6,438,688,63.66
2024/02/20,m1,333,434,76.73
2024/02/20,m2,109,122,89.34
2024/02/20,m3,348,995,34.97
2024/02/20,m4,218,730,29.86
2024/02/20,m5,647,666,97.15
2024/02/20,m6,302,312,96.79
2024/02/21,m1,349,424,82.31
2024/02/21,m2,102,633,16.11
2024/02/21,m3,159,195,81.54
2024/02/21,m4,447,491,91.04
2024/02/21,m5,475,540,87.96
2024/02/21,m6,620,804,77.11
2024/02/22,m1,227,277,81.95
2024/02/22,m2,131,256,51.17
2024/02/22,m3,257,549,46.81
2024/02/22,m4,268,350,76.57
2024/02/22,m5,364,669,54.41
2024/02/22,m6,523,661,79.12
2024/02/23,m1,209,560,37.32
2024/02/23,m2,349,608,57.4
2024/02/23,m3,635,996,63.76
2024/02/23,m4,301,979,30.75
2024/02/23,m5,330,564,58.51
2024/02/23,m6,123,167,73.65
2024/02/24,m1,207,373,55.5
2024/02/24,m2,322,843,38.2
2024/02/24,m3,229,353,64.87
2024/02/24,m4,115,987,11.65
2024/02/24,m5,344,754,45.62
2024/02/24,m6,117,140,83.57
2024/02/25,m1,114,177,64.41
2024/02/25,m2,201,231,87.01
2024/02/25,m3,425,674,63.06
2024/02/25,m4,208,498,41.77
2024/02/25,m5,118,883,13.36
2024/02/25,m6,186,992,18.75
2024/02/26,m1,731,770,94.94
2024/02/26,m2,125,131,95.42
2024/02/26,m3,330,481,68.61
2024/02/26,m4,352,671,52.46
2024/02/26,m5,676,677,99.85
2024/02/26,m6,928,970,95.67
2024/02/27,m1,164,317,51.74
2024/02/27,m2,554,624,88.78
2024/02/27,m3,101,394,25.63
