Date,Test_Executed,Test_Passed,Test_Failed,Pass_Rate(%),Open_Bugs,Critical_Bugs,Code_Coverage
2024-01-01,122,110,12,90.16,27,4,50.0
2024-01-04,159,152,7,95.6,19,8,50.2
2024-01-06,163,147,16,90.18,29,9,50.3
2024-01-08,119,105,14,88.24,24,8,50.5
2024-01-09,162,139,23,85.8,8,5,50.7
2024-01-12,178,167,11,93.82,15,0,50.8
2024-01-15,187,174,13,93.05,19,8,51.0
2024-01-16,182,170,12,93.41,5,7,51.2
2024-01-19,115,90,25,78.26,11,7,51.3
2024-01-22,103,98,5,95.15,24,6,51.5
2024-01-24,196,190,6,96.94,16,0,51.7
2024-01-27,188,176,12,93.62,29,4,51.8
2024-01-28,175,161,14,92.0,11,0,52.0
2024-01-30,117,110,7,94.02,10,6,52.2
2024-02-01,157,139,18,88.54,9,4,52.3
2024-02-02,118,95,23,80.51,23,1,52.5
2024-02-04,116,110,6,94.83,25,6,52.7
2024-02-06,123,116,7,94.31,17,2,52.8
2024-02-09,166,147,19,88.55,14,4,53.0
2024-02-11,170,162,8,95.29,19,7,53.1
2024-02-14,199,182,17,91.46,25,8,53.3
2024-02-17,134,126,8,94.03,8,8,53.5
2024-02-19,129,102,27,79.07,22,5,53.6
2024-02-21,119,112,7,94.12,9,5,53.8
2024-02-23,112,87,25,77.68,24,5,54.0
2024-02-24,191,168,23,87.96,13,5,54.1
2024-02-27,176,168,8,95.45,9,0,54.3
2024-03-01,186,162,24,87.1,14,9,54.5
2024-03-04,102,79,23,77.45,12,2,54.6
2024-03-07,169,163,6,96.45,21,0,54.8
2024-03-09,167,162,5,97.01,26,7,55.0
2024-03-11,147,140,7,95.24,7,9,55.1
2024-03-13,120,110,10,91.67,7,8,55.3
2024-03-16,101,72,29,71.29,7,7,55.5
2024-03-18,126,102,24,80.95,11,6,55.6
2024-03-19,110,105,5,95.45,25,3,55.8
2024-03-22,114,109,5,95.61,16,1,56.0
2024-03-24,148,127,21,85.81,25,0,56.1
2024-03-27,187,165,22,88.24,22,4,56.3
2024-03-28,179,162,17,90.5,25,3,56.5
2024-03-29,131,124,7,94.66,27,7,56.6
2024-03-31,133,113,20,84.96,8,1,56.8
2024-04-03,178,167,11,93.82,16,0,57.0
2024-04-05,132,115,17,87.12,29,4,57.1
2024-04-07,105,82,23,78.1,24,9,57.3
2024-04-10,126,111,15,88.1,19,6,57.5
2024-04-13,199,187,12,93.97,7,7,57.6
2024-04-14,135,120,15,88.89,14,5,57.8
2024-04-17,169,143,26,84.62,28,5,58.0
2024-04-20,172,145,27,84.3,7,0,58.1
2024-04-22,106,97,9,91.51,10,9,58.3
2024-04-25,101,92,9,91.09,10,3,58.5
2024-04-26,141,131,10,92.91,17,1,58.6
2024-04-27,140,121,19,86.43,18,4,58.8
2024-04-30,174,162,12,93.1,11,7,59.0
2024-05-03,150,138,12,92.0,18,1,59.1
2024-05-04,157,132,25,84.08,10,1,59.3
2024-05-06,197,186,11,94.42,7,8,59.4
2024-05-09,136,116,20,85.29,22,8,59.6
2024-05-10,164,151,13,92.07,8,2,59.8
2024-05-13,115,96,19,83.48,9,8,59.9
2024-05-15,114,101,13,88.6,17,8,60.1
2024-05-17,149,126,23,84.56,27,6,60.3
2024-05-18,191,174,17,91.1,24,0,60.4
2024-05-21,172,147,25,85.47,13,8,60.6
2024-05-24,114,101,13,88.6,20,5,60.8
2024-05-25,121,99,22,81.82,24,2,60.9
2024-05-26,195,184,11,94.36,24,8,61.1
2024-05-27,141,113,28,80.14,5,0,61.3
2024-05-28,198,185,13,93.43,13,4,61.4
2024-05-31,148,143,5,96.62,11,6,61.6
2024-06-01,185,177,8,95.68,25,3,61.8
2024-06-03,168,162,6,96.43,29,8,61.9
2024-06-06,115,100,15,86.96,5,9,62.1
2024-06-07,138,121,17,87.68,18,5,62.3
2024-06-09,123,102,21,82.93,8,3,62.4
2024-06-10,103,85,18,82.52,10,0,62.6
2024-06-11,186,181,5,97.31,11,5,62.8
2024-06-13,119,112,7,94.12,22,7,62.9
2024-06-15,173,150,23,86.71,27,7,63.1
2024-06-16,199,186,13,93.47,26,9,63.3
2024-06-17,174,149,25,85.63,16,1,63.4
2024-06-19,182,174,8,95.6,18,8,63.6
2024-06-21,137,128,9,93.43,13,7,63.8
2024-06-24,108,102,6,94.44,6,7,63.9
2024-06-25,111,100,11,90.09,28,5,64.1
2024-06-26,113,105,8,92.92,13,7,64.3
2024-06-28,121,115,6,95.04,20,1,64.4
2024-06-29,191,172,19,90.05,10,5,64.6
2024-07-01,157,145,12,92.36,6,2,64.8
2024-07-04,108,86,22,79.63,11,7,64.9
2024-07-05,166,156,10,93.98,23,2,65.1
2024-07-08,135,125,10,92.59,22,4,65.2
