date,module_name,covered_line_number,total_line_number,coverage_percentage
2024/02/01,m1,191,266,71.8
2024/02/01,m2,434,924,46.97
2024/02/01,m3,100,134,74.63
2024/02/01,m4,257,754,34.08
2024/02/01,m5,332,826,40.19
2024/02/01,m6,125,172,72.67
2024/02/02,m1,271,316,85.76
2024/02/02,m2,152,293,51.88
2024/02/02,m3,715,949,75.34
2024/02/02,m4,327,635,51.5
2024/02/02,m5,187,852,21.95
2024/02/02,m6,491,527,93.17
2024/02/03,m1,295,299,98.66
2024/02/03,m2,215,611,35.19
2024/02/03,m3,286,523,54.68
2024/02/03,m4,261,593,44.01
2024/02/03,m5,442,884,50.0
2024/02/03,m6,410,800,51.25
2024/02/04,m1,274,332,82.53
2024/02/04,m2,676,740,91.35
2024/02/04,m3,207,363,57.02
2024/02/04,m4,159,198,80.3
2024/02/04,m5,157,637,24.65
2024/02/04,m6,112,119,94.12
2024/02/05,m1,314,805,39.01
2024/02/05,m2,464,892,52.02
2024/02/05,m3,234,448,52.23
2024/02/05,m4,212,829,25.57
2024/02/05,m5,474,546,86.81
2024/02/05,m6,763,856,89.14
2024/02/06,m1,862,873,98.74
2024/02/06,m2,176,223,78.92
2024/02/06,m3,365,833,43.82
2024/02/06,m4,110,337,32.64
2024/02/06,m5,163,245,66.53
2024/02/06,m6,109,603,18.08
2024/02/07,m1,178,355,50.14
2024/02/07,m2,102,275,37.09
2024/02/07,m3,144,201,71.64
2024/02/07,m4,349,852,40.96
2024/02/07,m5,142,521,27.26
2024/02/07,m6,280,549,51.0
2024/02/08,m1,238,374,63.64
2024/02/08,m2,714,978,73.01
2024/02/08,m3,119,127,93.7
2024/02/08,m4,694,848,81.84
2024/02/08,m5,447,848,52.71
2024/02/08,m6,137,956,14.33
2024/02/09,m1,574,824,69.66
2024/02/09,m2,181,875,20.69
2024/02/09,m3,197,963,20.46
2024/02/09,m4,186,389,47.81
2024/02/09,m5,293,686,42.71
2024/02/09,m6,377,645,58.45
2024/02/10,m1,869,913,95.18
2024/02/10,m2,194,449,43.21
2024/02/10,m3,338,479,70.56
2024/02/10,m4,605,652,92.79
2024/02/10,m5,205,264,77.65
2024/02/10,m6,565,769,73.47
2024/02/11,m1,108,198,54.55
2024/02/11,m2,315,879,35.84
2024/02/11,m3,378,617,61.26
2024/02/11,m4,207,363,57.02
2024/02/11,m5,493,664,74.25
2024/02/11,m6,620,881,70.37
2024/02/12,m1,376,865,43.47
2024/02/12,m2,203,627,32.38
2024/02/12,m3,160,457,35.01
2024/02/12,m4,405,618,65.53
2024/02/12,m5,342,894,38.26
2024/02/12,m6,115,125,92.0
2024/02/13,m1,172,632,27.22
2024/02/13,m2,294,636,46.23
2024/02/13,m3,101,202,50.0
2024/02/13,m4,141,742,19.0
2024/02/13,m5,365,491,74.34
2024/02/13,m6,674,877,76.85
2024/02/14,m1,383,644,59.47
2024/02/14,m2,103,110,93.64
2024/02/14,m3,716,744,96.24
2024/02/14,m4,326,793,41.11
2024/02/14,m5,113,143,79.02
2024/02/14,m6,106,113,93.81
2024/02/15,m1,187,214,87.38
2024/02/15,m2,535,676,79.14
2024/02/15,m3,211,220,95.91
2024/02/15,m4,310,396,78.28
2024/02/15,m5,214,232,92.24
2024/02/15,m6,170,530,32.08
2024/02/16,m1,581,815,71.29
2024/02/16,m2,580,815,71.17
2024/02/16,m3,189,469,40.3
2024/02/16,m4,242,538,44.98
2024/02/16,m5,239,896,26.67
2024/02/16,m6,808,965,83.73
2024/02/17,m1,190,303,62.71
2024/02/17,m2,466,522,89.27
2024/02/17,m3,432,988,43.72
2024/02/17,m4,320,911,35.13
2024/02/17,m5,134,860,15.58
2024/02/17,m6,513,774,66.28
2024/02/18,m1,180,243,74.07
2024/02/18,m2,476,672,70.83
2024/02/18,m3,243,265,91.7
2024/02/18,m4,572,591,96.79
2024/02/18,m5,112,561,19.96
2024/02/18,m6,316,389,81.23
2024/02/19,m1,280,805,34.78
2024/02/19,m2,386,662,58.31
2024/02/19,m3,156,182,85.71
2024/02/19,m4,468,826,56.66
2024/02/19,m5,477,503,94.83
2024/02/19,m6,159,344,46.22
2024/02/20,m1,246,325,75.69
2024/02/20,m2,397,496,80.04
2024/02/20,m3,172,943,18.24
2024/02/20,m4,103,112,91.96
2024/02/20,m5,138,240,57.5
2024/02/20,m6,120,468,25.64
2024/02/21,m1,201,477,42.14
2024/02/21,m2,168,364,46.15
2024/02/21,m3,109,177,61.58
2024/02/21,m4,238,369,64.5
2024/02/21,m5,111,317,35.02
2024/02/21,m6,152,295,51.53
2024/02/22,m1,819,867,94.46
2024/02/22,m2,260,378,68.78
2024/02/22,m3,301,942,31.95
2024/02/22,m4,195,210,92.86
2024/02/22,m5,205,297,69.02
2024/02/22,m6,241,337,71.51
2024/02/23,m1,257,489,52.56
2024/02/23,m2,327,940,34.79
2024/02/23,m3,137,150,91.33
2024/02/23,m4,225,414,54.35
2024/02/23,m5,188,279,67.38
2024/02/23,m6,436,519,84.01
2024/02/24,m1,242,273,88.64
2024/02/24,m2,890,958,92.9
2024/02/24,m3,112,114,98.25
2024/02/24,m4,160,182,87.91
2024/02/24,m5,134,279,48.03
2024/02/24,m6,810,950,85.26
2024/02/25,m1,647,682,94.87
2024/02/25,m2,273,366,74.59
2024/02/25,m3,207,465,44.52
2024/02/25,m4,176,225,78.22
2024/02/25,m5,419,996,42.07
2024/02/25,m6,355,476,74.58
2024/02/26,m1,481,557,86.36
2024/02/26,m2,420,613,68.52
2024/02/26,m3,550,840,65.48
2024/02/26,m4,200,321,62.31
2024/02/26,m5,227,409,55.5
2024/02/26,m6,161,327,49.24
2024/02/27,m1,142,479,29.65
2024/02/27,m2,329,504,65.28
2024/02/27,m3,152,269,56.51
2024/02/27,m4,131,888,14.75
2024/02/27,m5,126,888,14.19
2024/02/27,m6,263,587,44.8
2024/02/28,m1,180,775,23.23
2024/02/28,m2,256,464,55.17
2024/02/28,m3,353,833,42.38
2024/02/28,m4,246,786,31.3
2024/02/28,m5,166,661,25.11
2024/02/28,m6,106,372,28.49
2024/02/29,m1,218,377,57.82
2024/02/29,m2,243,470,51.7
2024/02/29,m3,574,598,95.99
2024/02/29,m4,215,387,55.56
2024/02/29,m5,343,836,41.03
2024/02/29,m6,140,264,53.03
2024/03/01,m1,382,475,80.42
2024/03/01,m2,330,967,34.13
2024/03/01,m3,542,911,59.5
2024/03/01,m4,756,893,84.66
2024/03/01,m5,132,157,84.08
2024/03/01,m6,304,339,89.68
2024/03/02,m1,450,595,75.63
2024/03/02,m2,169,332,50.9
2024/03/02,m3,123,128,96.09
2024/03/02,m4,139,220,63.18
2024/03/02,m5,458,748,61.23
2024/03/02,m6,306,596,51.34
2024/03/03,m1,147,172,85.47
2024/03/03,m2,272,298,91.28
2024/03/03,m3,273,288,94.79
2024/03/03,m4,131,139,94.24
2024/03/03,m5,215,243,88.48
2024/03/03,m6,331,466,71.03
2024/03/04,m1,200,341,58.65
2024/03/04,m2,555,725,76.55
2024/03/04,m3,545,633,86.1
2024/03/04,m4,393,883,44.51
