Date,Test_Executed,Test_Passed,Test_Failed,Pass_Rate(%),Open_Bugs,Critical_Bugs,Code_Coverage
2024-01-01,115,106,9,92.17,9,1,27.5
2024-01-04,81,69,12,85.19,14,1,27.7
2024-01-06,70,64,6,91.43,14,4,27.8
2024-01-07,104,93,11,89.42,18,2,28.0
2024-01-10,62,51,11,82.26,22,7,28.1
2024-01-12,80,66,14,82.5,24,7,28.3
2024-01-13,76,54,22,71.05,26,4,28.5
2024-01-14,138,132,6,95.65,7,5,28.6
2024-01-17,63,41,22,65.08,21,7,28.8
2024-01-18,112,106,6,94.64,28,3,29.0
2024-01-21,80,74,6,92.5,20,1,29.1
2024-01-22,123,103,20,83.74,22,1,29.3
2024-01-24,108,84,24,77.78,5,1,29.4
2024-01-25,150,132,18,88.0,12,2,29.6
2024-01-26,84,59,25,70.24,9,8,29.8
2024-01-28,72,63,9,87.5,22,2,29.9
2024-01-30,125,119,6,95.2,12,3,30.1
2024-02-01,151,129,22,85.43,12,6,30.3
2024-02-04,141,116,25,82.27,25,6,30.4
2024-02-06,84,56,28,66.67,19,8,30.6
2024-02-09,128,103,25,80.47,22,6,30.7
2024-02-11,124,113,11,91.13,19,4,30.9
2024-02-13,99,81,18,81.82,23,4,31.1
2024-02-16,65,43,22,66.15,29,9,31.2
2024-02-17,101,96,5,95.05,7,7,31.4
2024-02-18,88,78,10,88.64,13,6,31.6
2024-02-21,117,112,5,95.73,14,8,31.7
2024-02-23,76,49,27,64.47,18,0,31.9
2024-02-24,111,101,10,90.99,10,3,32.0
2024-02-25,91,80,11,87.91,7,1,32.2
2024-02-26,60,53,7,88.33,15,9,32.4
2024-02-28,77,60,17,77.92,24,0,32.5
2024-03-01,66,61,5,92.42,7,7,32.7
2024-03-03,128,116,12,90.62,12,1,32.9
2024-03-05,109,102,7,93.58,28,4,33.0
2024-03-07,61,49,12,80.33,25,8,33.2
2024-03-09,132,124,8,93.94,10,8,33.3
2024-03-11,122,117,5,95.9,23,8,33.5
2024-03-14,120,102,18,85.0,15,7,33.7
2024-03-16,153,134,19,87.58,25,8,33.8
2024-03-19,150,142,8,94.67,7,8,34.0
2024-03-20,61,32,29,52.46,5,2,34.1
2024-03-21,141,112,29,79.43,6,1,34.3
2024-03-22,113,98,15,86.73,29,7,34.5
2024-03-24,121,94,27,77.69,23,6,34.6
2024-03-27,151,139,12,92.05,19,8,34.8
2024-03-30,78,60,18,76.92,19,4,35.0
2024-04-01,75,53,22,70.67,29,4,35.1
2024-04-04,103,79,24,76.7,5,3,35.3
2024-04-06,129,109,20,84.5,18,3,35.4
2024-04-07,71,65,6,91.55,21,2,35.6
2024-04-09,65,41,24,63.08,7,3,35.8
2024-04-10,127,112,15,88.19,11,7,35.9
2024-04-12,74,62,12,83.78,21,6,36.1
2024-04-13,126,116,10,92.06,13,4,36.3
2024-04-15,105,95,10,90.48,18,7,36.4
2024-04-17,102,80,22,78.43,26,0,36.6
2024-04-19,154,132,22,85.71,24,3,36.7
2024-04-21,134,109,25,81.34,17,4,36.9
2024-04-24,68,53,15,77.94,15,9,37.1
2024-04-25,62,55,7,88.71,14,0,37.2
2024-04-26,93,71,22,76.34,20,9,37.4
2024-04-27,98,76,22,77.55,22,7,37.6
2024-04-28,96,86,10,89.58,13,0,37.7
2024-04-30,118,107,11,90.68,5,7,37.9
2024-05-01,93,84,9,90.32,26,3,38.0
2024-05-02,126,103,23,81.75,17,2,38.2
2024-05-04,81,62,19,76.54,24,6,38.4
2024-05-05,133,108,25,81.2,26,3,38.5
2024-05-06,57,43,14,75.44,11,1,38.7
2024-05-07,91,82,9,90.11,14,9,38.9
