date,module_name,covered_line_number,total_line_number,coverage_percentage
2024/02/01,m1,470,723,65.01
2024/02/01,m2,151,222,68.02
2024/02/01,m3,376,807,46.59
2024/02/01,m4,530,565,93.81
2024/02/01,m5,557,981,56.78
2024/02/01,m6,188,780,24.1
2024/02/02,m1,316,698,45.27
2024/02/02,m2,277,756,36.64
2024/02/02,m3,210,234,89.74
2024/02/02,m4,486,591,82.23
2024/02/02,m5,331,342,96.78
2024/02/02,m6,171,442,38.69
2024/02/03,m1,225,230,97.83
2024/02/03,m2,202,700,28.86
2024/02/03,m3,326,862,37.82
2024/02/03,m4,288,807,35.69
2024/02/03,m5,161,164,98.17
2024/02/03,m6,160,784,20.41
2024/02/04,m1,219,334,65.57
2024/02/04,m2,640,806,79.4
2024/02/04,m3,553,585,94.53
2024/02/04,m4,260,887,29.31
2024/02/04,m5,103,103,100.0
2024/02/04,m6,461,616,74.84
2024/02/05,m1,178,438,40.64
2024/02/05,m2,133,146,91.1
2024/02/05,m3,103,183,56.28
2024/02/05,m4,183,281,65.12
2024/02/05,m5,807,985,81.93
2024/02/05,m6,298,313,95.21
2024/02/06,m1,119,207,57.49
2024/02/06,m2,244,824,29.61
2024/02/06,m3,116,884,13.12
2024/02/06,m4,184,273,67.4
2024/02/06,m5,292,433,67.44
2024/02/06,m6,512,741,69.1
2024/02/07,m1,539,693,77.78
2024/02/07,m2,566,641,88.3
2024/02/07,m3,309,757,40.82
2024/02/07,m4,452,617,73.26
2024/02/07,m5,238,615,38.7
2024/02/07,m6,603,678,88.94
2024/02/08,m1,791,881,89.78
2024/02/08,m2,280,347,80.69
2024/02/08,m3,477,541,88.17
2024/02/08,m4,318,596,53.36
2024/02/08,m5,251,652,38.5
2024/02/08,m6,115,120,95.83
2024/02/09,m1,161,481,33.47
2024/02/09,m2,768,927,82.85
2024/02/09,m3,106,621,17.07
2024/02/09,m4,147,299,49.16
2024/02/09,m5,103,440,23.41
2024/02/09,m6,826,904,91.37
2024/02/10,m1,102,141,72.34
