Date,Test_Executed,Test_Passed,Test_Failed,Pass_Rate(%),Open_Bugs,Critical_Bugs,Code_Coverage
2024-01-01,172,161,11,93.6,19,3,37.5
2024-01-02,155,135,20,87.1,13,5,37.7
2024-01-04,135,109,26,80.74,6,4,37.8
2024-01-05,171,152,19,88.89,25,3,38.0
2024-01-06,128,106,22,82.81,12,7,38.1
2024-01-08,81,62,19,76.54,27,2,38.3
2024-01-10,156,143,13,91.67,10,7,38.4
2024-01-12,86,64,22,74.42,11,6,38.6
2024-01-15,76,67,9,88.16,28,4,38.7
2024-01-18,116,88,28,75.86,28,4,38.9
2024-01-20,170,143,27,84.12,11,0,39.0
2024-01-23,131,108,23,82.44,5,8,39.2
2024-01-25,143,133,10,93.01,28,8,39.3
2024-01-26,108,92,16,85.19,18,3,39.5
2024-01-29,114,87,27,76.32,22,2,39.6
2024-01-31,85,68,17,80.0,18,1,39.8
2024-02-03,135,128,7,94.81,25,4,39.9
2024-02-04,94,86,8,91.49,7,2,40.1
2024-02-07,173,152,21,87.86,16,9,40.2
2024-02-09,83,77,6,92.77,19,5,40.4
2024-02-10,81,76,5,93.83,8,9,40.5
2024-02-12,149,143,6,95.97,7,7,40.7
2024-02-13,89,83,6,93.26,11,2,40.9
2024-02-15,111,90,21,81.08,26,5,41.0
2024-02-16,90,80,10,88.89,20,6,41.2
2024-02-17,85,74,11,87.06,6,8,41.3
2024-02-19,147,139,8,94.56,7,6,41.5
2024-02-22,122,110,12,90.16,21,1,41.6
2024-02-25,87,79,8,90.8,5,3,41.8
2024-02-28,136,116,20,85.29,21,5,41.9
2024-02-29,135,116,19,85.93,9,3,42.1
2024-03-02,114,89,25,78.07,7,3,42.2
2024-03-04,171,165,6,96.49,18,3,42.4
2024-03-07,116,95,21,81.9,21,8,42.5
2024-03-08,149,141,8,94.63,9,0,42.7
2024-03-11,121,96,25,79.34,14,3,42.8
2024-03-13,75,61,14,81.33,29,4,43.0
2024-03-15,150,145,5,96.67,15,9,43.1
2024-03-16,137,121,16,88.32,25,1,43.3
2024-03-17,140,115,25,82.14,22,4,43.4
2024-03-18,169,156,13,92.31,6,5,43.6
2024-03-19,159,132,27,83.02,8,8,43.7
2024-03-20,139,129,10,92.81,10,1,43.9
2024-03-21,152,126,26,82.89,29,9,44.0
2024-03-22,165,142,23,86.06,19,1,44.2
2024-03-24,97,84,13,86.6,12,7,44.4
2024-03-26,82,76,6,92.68,23,6,44.5
2024-03-28,106,99,7,93.4,26,7,44.7
2024-03-31,173,150,23,86.71,13,0,44.8
