date,module_name,covered_line_number,total_line_number,coverage_percentage
2024/02/01,m1,145,981,14.78
2024/02/01,m2,259,271,95.57
2024/02/01,m3,196,604,32.45
2024/02/01,m4,224,319,70.22
2024/02/01,m5,209,965,21.66
2024/02/01,m6,210,448,46.88
2024/02/02,m1,383,483,79.3
2024/02/02,m2,659,798,82.58
2024/02/02,m3,136,570,23.86
2024/02/02,m4,374,950,39.37
2024/02/02,m5,518,655,79.08
2024/02/02,m6,931,995,93.57
2024/02/03,m1,212,303,69.97
2024/02/03,m2,204,330,61.82
2024/02/03,m3,305,386,79.02
2024/02/03,m4,340,624,54.49
2024/02/03,m5,258,483,53.42
2024/02/03,m6,248,337,73.59
2024/02/04,m1,151,159,94.97
2024/02/04,m2,281,686,40.96
2024/02/04,m3,561,851,65.92
2024/02/04,m4,349,418,83.49
2024/02/04,m5,147,423,34.75
2024/02/04,m6,546,635,85.98
2024/02/05,m1,134,828,16.18
2024/02/05,m2,123,251,49.0
2024/02/05,m3,366,485,75.46
2024/02/05,m4,166,855,19.42
2024/02/05,m5,308,493,62.47
2024/02/05,m6,435,489,88.96
2024/02/06,m1,123,574,21.43
2024/02/06,m2,242,428,56.54
2024/02/06,m3,278,809,34.36
2024/02/06,m4,318,841,37.81
2024/02/06,m5,187,847,22.08
2024/02/06,m6,366,457,80.09
2024/02/07,m1,506,535,94.58
2024/02/07,m2,121,205,59.02
2024/02/07,m3,768,829,92.64
2024/02/07,m4,488,633,77.09
2024/02/07,m5,378,395,95.7
2024/02/07,m6,473,779,60.72
2024/02/08,m1,114,119,95.8
2024/02/08,m2,583,598,97.49
2024/02/08,m3,476,841,56.6
2024/02/08,m4,750,906,82.78
2024/02/08,m5,881,886,99.44
2024/02/08,m6,132,235,56.17
2024/02/09,m1,107,148,72.3
2024/02/09,m2,152,157,96.82
2024/02/09,m3,534,833,64.11
2024/02/09,m4,159,259,61.39
2024/02/09,m5,331,366,90.44
2024/02/09,m6,287,357,80.39
2024/02/10,m1,538,686,78.43
2024/02/10,m2,418,717,58.3
2024/02/10,m3,233,255,91.37
2024/02/10,m4,145,446,32.51
2024/02/10,m5,102,110,92.73
2024/02/10,m6,713,718,99.3
2024/02/11,m1,710,837,84.83
2024/02/11,m2,100,295,33.9
2024/02/11,m3,131,332,39.46
2024/02/11,m4,295,440,67.05
2024/02/11,m5,200,332,60.24
2024/02/11,m6,146,506,28.85
2024/02/12,m1,202,262,77.1
2024/02/12,m2,403,873,46.16
2024/02/12,m3,674,835,80.72
