date,module_name,covered_line_number,total_line_number,coverage_percentage
2024/02/01,m1,264,925,28.54
2024/02/01,m2,758,867,87.43
2024/02/01,m3,117,866,13.51
2024/02/01,m4,779,849,91.76
2024/02/01,m5,475,701,67.76
2024/02/01,m6,285,513,55.56
2024/02/02,m1,283,948,29.85
2024/02/02,m2,171,459,37.25
2024/02/02,m3,534,757,70.54
2024/02/02,m4,212,249,85.14
2024/02/02,m5,855,995,85.93
2024/02/02,m6,458,623,73.52
2024/02/03,m1,356,789,45.12
2024/02/03,m2,379,383,98.96
2024/02/03,m3,305,320,95.31
2024/02/03,m4,152,270,56.3
2024/02/03,m5,552,571,96.67
2024/02/03,m6,116,116,100.0
2024/02/04,m1,311,355,87.61
2024/02/04,m2,104,104,100.0
2024/02/04,m3,749,897,83.5
2024/02/04,m4,398,420,94.76
2024/02/04,m5,107,133,80.45
2024/02/04,m6,155,440,35.23
2024/02/05,m1,227,287,79.09
2024/02/05,m2,133,153,86.93
2024/02/05,m3,348,897,38.8
2024/02/05,m4,197,275,71.64
2024/02/05,m5,142,169,84.02
2024/02/05,m6,334,858,38.93
2024/02/06,m1,208,337,61.72
2024/02/06,m2,312,635,49.13
2024/02/06,m3,321,667,48.13
2024/02/06,m4,114,258,44.19
2024/02/06,m5,364,441,82.54
2024/02/06,m6,812,969,83.8
2024/02/07,m1,113,139,81.29
2024/02/07,m2,393,702,55.98
2024/02/07,m3,115,192,59.9
2024/02/07,m4,150,230,65.22
2024/02/07,m5,171,185,92.43
2024/02/07,m6,593,857,69.19
2024/02/08,m1,315,491,64.15
2024/02/08,m2,197,286,68.88
2024/02/08,m3,560,919,60.94
2024/02/08,m4,409,879,46.53
2024/02/08,m5,104,234,44.44
2024/02/08,m6,365,365,100.0
2024/02/09,m1,697,792,88.01
2024/02/09,m2,177,267,66.29
2024/02/09,m3,123,264,46.59
2024/02/09,m4,464,687,67.54
2024/02/09,m5,109,223,48.88
2024/02/09,m6,333,356,93.54
2024/02/10,m1,613,745,82.28
2024/02/10,m2,518,780,66.41
2024/02/10,m3,813,948,85.76
2024/02/10,m4,529,891,59.37
2024/02/10,m5,526,579,90.85
2024/02/10,m6,188,770,24.42
2024/02/11,m1,270,396,68.18
2024/02/11,m2,440,919,47.88
2024/02/11,m3,214,536,39.93
2024/02/11,m4,231,256,90.23
2024/02/11,m5,683,843,81.02
2024/02/11,m6,230,270,85.19
2024/02/12,m1,103,103,100.0
2024/02/12,m2,687,993,69.18
2024/02/12,m3,115,115,100.0
2024/02/12,m4,126,200,63.0
2024/02/12,m5,102,113,90.27
2024/02/12,m6,471,525,89.71
2024/02/13,m1,632,711,88.89
2024/02/13,m2,926,965,95.96
2024/02/13,m3,342,349,97.99
2024/02/13,m4,422,934,45.18
2024/02/13,m5,174,205,84.88
2024/02/13,m6,166,795,20.88
2024/02/14,m1,272,423,64.3
2024/02/14,m2,282,469,60.13
2024/02/14,m3,305,777,39.25
2024/02/14,m4,594,779,76.25
2024/02/14,m5,417,919,45.38
2024/02/14,m6,434,636,68.24
2024/02/15,m1,137,185,74.05
2024/02/15,m2,416,496,83.87
2024/02/15,m3,690,806,85.61
2024/02/15,m4,400,718,55.71
2024/02/15,m5,208,960,21.67
2024/02/15,m6,192,613,31.32
2024/02/16,m1,979,989,98.99
2024/02/16,m2,146,173,84.39
2024/02/16,m3,826,898,91.98
2024/02/16,m4,141,141,100.0
2024/02/16,m5,355,943,37.65
2024/02/16,m6,442,532,83.08
2024/02/17,m1,483,933,51.77
2024/02/17,m2,461,500,92.2
2024/02/17,m3,289,508,56.89
2024/02/17,m4,179,282,63.48
2024/02/17,m5,244,530,46.04
2024/02/17,m6,535,551,97.1
2024/02/18,m1,224,461,48.59
2024/02/18,m2,132,428,30.84
2024/02/18,m3,592,750,78.93
2024/02/18,m4,611,924,66.13
2024/02/18,m5,255,962,26.51
2024/02/18,m6,279,547,51.01
2024/02/19,m1,101,103,98.06
2024/02/19,m2,105,113,92.92
2024/02/19,m3,391,489,79.96
2024/02/19,m4,340,596,57.05
2024/02/19,m5,212,660,32.12
2024/02/19,m6,199,245,81.22
2024/02/20,m1,208,554,37.55
2024/02/20,m2,254,427,59.48
2024/02/20,m3,206,539,38.22
2024/02/20,m4,303,854,35.48
2024/02/20,m5,148,216,68.52
2024/02/20,m6,192,965,19.9
2024/02/21,m1,149,153,97.39
2024/02/21,m2,327,702,46.58
2024/02/21,m3,189,630,30.0
2024/02/21,m4,188,325,57.85
2024/02/21,m5,316,434,72.81
2024/02/21,m6,104,830,12.53
2024/02/22,m1,585,948,61.71
2024/02/22,m2,657,843,77.94
2024/02/22,m3,138,257,53.7
2024/02/22,m4,173,690,25.07
2024/02/22,m5,151,154,98.05
2024/02/22,m6,371,689,53.85
2024/02/23,m1,332,786,42.24
2024/02/23,m2,265,818,32.4
2024/02/23,m3,679,684,99.27
2024/02/23,m4,125,352,35.51
2024/02/23,m5,190,307,61.89
2024/02/23,m6,231,232,99.57
2024/02/24,m1,132,831,15.88
2024/02/24,m2,315,524,60.11
2024/02/24,m3,565,754,74.93
2024/02/24,m4,675,742,90.97
2024/02/24,m5,201,590,34.07
2024/02/24,m6,294,740,39.73
2024/02/25,m1,426,582,73.2
2024/02/25,m2,830,942,88.11
2024/02/25,m3,334,347,96.25
2024/02/25,m4,302,805,37.52
2024/02/25,m5,222,532,41.73
2024/02/25,m6,645,766,84.2
2024/02/26,m1,712,949,75.03
2024/02/26,m2,150,201,74.63
2024/02/26,m3,139,248,56.05
2024/02/26,m4,184,229,80.35
2024/02/26,m5,602,797,75.53
2024/02/26,m6,233,254,91.73
2024/02/27,m1,438,451,97.12
2024/02/27,m2,107,314,34.08
2024/02/27,m3,176,939,18.74
2024/02/27,m4,144,229,62.88
2024/02/27,m5,269,476,56.51
2024/02/27,m6,107,209,51.2
2024/02/28,m1,178,185,96.22
2024/02/28,m2,361,496,72.78
2024/02/28,m3,413,597,69.18
2024/02/28,m4,313,664,47.14
2024/02/28,m5,179,202,88.61
2024/02/28,m6,326,435,74.94
2024/02/29,m1,216,379,56.99
2024/02/29,m2,193,453,42.6
2024/02/29,m3,159,170,93.53
2024/02/29,m4,100,158,63.29
2024/02/29,m5,686,966,71.01
2024/02/29,m6,419,509,82.32
2024/03/01,m1,916,949,96.52
2024/03/01,m2,779,963,80.89
2024/03/01,m3,452,571,79.16
2024/03/01,m4,300,375,80.0
2024/03/01,m5,177,195,90.77
2024/03/01,m6,117,198,59.09
2024/03/02,m1,346,830,41.69
2024/03/02,m2,102,120,85.0
2024/03/02,m3,625,649,96.3
2024/03/02,m4,253,255,99.22
2024/03/02,m5,172,179,96.09
2024/03/02,m6,134,732,18.31
2024/03/03,m1,341,363,93.94
2024/03/03,m2,195,368,52.99
2024/03/03,m3,149,596,25.0
2024/03/03,m4,381,430,88.6
2024/03/03,m5,363,411,88.32
2024/03/03,m6,435,535,81.31
