Date,Test_Executed,Test_Passed,Test_Failed,Pass_Rate(%),Open_Bugs,Critical_Bugs,Code_Coverage
2024-01-01,77,62,15,80.52,15,8,30.0
2024-01-04,69,54,15,78.26,28,6,30.2
2024-01-06,109,88,21,80.73,20,4,30.3
2024-01-09,147,136,11,92.52,5,9,30.5
2024-01-10,111,101,10,90.99,11,6,30.7
2024-01-13,88,68,20,77.27,24,7,30.8
2024-01-15,132,127,5,96.21,14,6,31.0
2024-01-18,157,145,12,92.36,16,3,31.2
2024-01-20,108,98,10,90.74,18,4,31.3
2024-01-23,128,110,18,85.94,27,2,31.5
2024-01-25,112,107,5,95.54,21,5,31.7
2024-01-27,149,122,27,81.88,7,2,31.8
2024-01-29,86,63,23,73.26,28,4,32.0
2024-01-30,67,61,6,91.04,29,6,32.2
2024-02-01,73,59,14,80.82,20,2,32.3
2024-02-04,90,62,28,68.89,11,9,32.5
2024-02-07,62,41,21,66.13,7,0,32.7
2024-02-10,73,68,5,93.15,9,6,32.8
2024-02-12,70,54,16,77.14,26,0,33.0
2024-02-15,94,77,17,81.91,7,6,33.2
2024-02-16,80,54,26,67.5,7,7,33.4
2024-02-19,156,141,15,90.38,8,2,33.5
2024-02-21,117,89,28,76.07,6,0,33.7
2024-02-23,106,91,15,85.85,25,5,33.9
2024-02-25,94,81,13,86.17,15,3,34.0
2024-02-26,88,63,25,71.59,27,2,34.2
2024-02-27,73,63,10,86.3,14,0,34.4
2024-02-29,60,44,16,73.33,24,6,34.5
2024-03-02,122,113,9,92.62,25,2,34.7
2024-03-04,137,131,6,95.62,7,4,34.9
2024-03-07,75,55,20,73.33,8,2,35.0
2024-03-08,103,74,29,71.84,6,0,35.2
2024-03-09,98,91,7,92.86,25,9,35.4
2024-03-10,84,75,9,89.29,22,4,35.5
2024-03-12,133,119,14,89.47,19,9,35.7
2024-03-14,134,119,15,88.81,20,6,35.9
2024-03-15,63,57,6,90.48,5,2,36.0
2024-03-16,91,73,18,80.22,18,3,36.2
2024-03-19,136,108,28,79.41,8,9,36.4
2024-03-22,109,95,14,87.16,16,1,36.5
2024-03-23,145,137,8,94.48,5,3,36.7
2024-03-26,98,92,6,93.88,10,8,36.9
2024-03-27,127,114,13,89.76,16,1,37.0
2024-03-30,85,58,27,68.24,6,1,37.2
2024-04-02,144,126,18,87.5,28,5,37.4
2024-04-05,135,119,16,88.15,24,9,37.5
2024-04-07,149,124,25,83.22,23,2,37.7
2024-04-08,157,133,24,84.71,19,8,37.9
2024-04-11,111,101,10,90.99,16,1,38.0
2024-04-13,72,49,23,68.06,19,3,38.2
2024-04-16,89,66,23,74.16,21,2,38.4
2024-04-19,106,99,7,93.4,29,3,38.5
2024-04-20,121,102,19,84.3,25,3,38.7
2024-04-22,114,103,11,90.35,18,2,38.9
2024-04-24,68,44,24,64.71,27,8,39.1
2024-04-27,137,117,20,85.4,14,4,39.2
2024-04-30,104,76,28,73.08,18,0,39.4
2024-05-01,139,121,18,87.05,13,1,39.6
2024-05-04,90,70,20,77.78,13,7,39.7
2024-05-05,118,97,21,82.2,11,7,39.9
2024-05-06,121,100,21,82.64,14,7,40.1
2024-05-08,61,36,25,59.02,8,2,40.2
2024-05-10,153,142,11,92.81,27,0,40.4
2024-05-13,154,138,16,89.61,10,7,40.6
2024-05-16,110,98,12,89.09,18,6,40.7
2024-05-17,133,107,26,80.45,8,1,40.9
2024-05-18,133,113,20,84.96,25,7,41.1
2024-05-20,64,37,27,57.81,12,6,41.2
2024-05-22,141,130,11,92.2,26,0,41.4
2024-05-25,119,98,21,82.35,8,0,41.6
2024-05-26,143,117,26,81.82,25,7,41.7
2024-05-27,80,63,17,78.75,29,3,41.9
2024-05-29,132,123,9,93.18,11,4,42.1
2024-05-30,98,86,12,87.76,13,2,42.2
2024-05-31,70,64,6,91.43,12,6,42.4
2024-06-01,129,120,9,93.02,14,6,42.6
2024-06-02,102,81,21,79.41,25,6,42.7
2024-06-03,101,81,20,80.2,23,2,42.9
2024-06-06,121,107,14,88.43,9,6,43.1
2024-06-07,141,128,13,90.78,15,7,43.2
2024-06-08,89,71,18,79.78,5,1,43.4
2024-06-10,138,121,17,87.68,19,8,43.6
2024-06-13,112,87,25,77.68,21,1,43.7
2024-06-14,157,136,21,86.62,6,8,43.9
2024-06-16,64,43,21,67.19,9,7,44.1
2024-06-17,135,129,6,95.56,20,2,44.2
2024-06-18,127,101,26,79.53,23,3,44.4
2024-06-21,124,117,7,94.35,6,7,44.6
2024-06-24,90,68,22,75.56,16,5,44.7
2024-06-26,139,133,6,95.68,7,7,44.9
2024-06-29,61,38,23,62.3,28,7,45.1
2024-06-30,116,89,27,76.72,10,5,45.3
2024-07-02,62,43,19,69.35,16,4,45.4
2024-07-05,116,90,26,77.59,13,4,45.6
2024-07-08,92,79,13,85.87,28,5,45.8
2024-07-11,153,137,16,89.54,16,3,45.9
2024-07-14,112,91,21,81.25,19,3,46.1
2024-07-15,83,66,17,79.52,9,2,46.3
2024-07-17,159,139,20,87.42,20,3,46.4
2024-07-19,83,65,18,78.31,23,8,46.6
2024-07-22,133,111,22,83.46,10,1,46.8
2024-07-24,141,117,24,82.98,21,3,46.9
2024-07-26,130,124,6,95.38,15,7,47.1
2024-07-27,146,127,19,86.99,11,4,47.3
2024-07-28,99,73,26,73.74,22,8,47.4
2024-07-29,157,131,26,83.44,19,4,47.6
2024-08-01,91,85,6,93.41,19,9,47.8
2024-08-02,137,117,20,85.4,6,4,47.9
2024-08-04,127,104,23,81.89,23,2,48.1
2024-08-06,124,111,13,89.52,20,3,48.3
2024-08-09,154,132,22,85.71,29,0,48.4
2024-08-11,85,58,27,68.24,10,8,48.6
2024-08-12,87,69,18,79.31,15,3,48.8
2024-08-14,159,149,10,93.71,29,0,48.9
2024-08-17,132,118,14,89.39,5,8,49.1
2024-08-20,151,144,7,95.36,8,2,49.3
2024-08-23,117,89,28,76.07,6,5,49.4
2024-08-24,61,47,14,77.05,6,6,49.6
2024-08-25,130,103,27,79.23,12,0,49.8
2024-08-28,100,93,7,93.0,19,8,49.9
2024-08-29,92,68,24,73.91,19,7,50.1
2024-09-01,102,80,22,78.43,25,7,50.3
2024-09-03,73,59,14,80.82,28,5,50.4
2024-09-04,80,53,27,66.25,5,7,50.6
2024-09-05,144,121,23,84.03,9,2,50.8
2024-09-08,127,105,22,82.68,19,3,50.9
2024-09-11,125,116,9,92.8,23,6,51.1
2024-09-12,92,85,7,92.39,23,0,51.3
2024-09-14,100,83,17,83.0,5,9,51.5
2024-09-17,135,124,11,91.85,9,0,51.6
2024-09-20,84,73,11,86.9,17,4,51.8
2024-09-23,158,152,6,96.2,26,1,52.0
2024-09-26,121,97,24,80.17,20,4,52.1
2024-09-28,73,52,21,71.23,12,0,52.3
2024-10-01,100,83,17,83.0,7,4,52.5
2024-10-02,109,104,5,95.41,26,8,52.6
2024-10-04,122,110,12,90.16,27,0,52.8
2024-10-06,116,105,11,90.52,9,8,53.0
2024-10-09,67,46,21,68.66,27,1,53.1
2024-10-12,144,119,25,82.64,28,3,53.3
2024-10-13,113,90,23,79.65,26,6,53.5
2024-10-14,96,89,7,92.71,19,9,53.6
2024-10-16,111,99,12,89.19,10,2,53.8
2024-10-19,103,85,18,82.52,7,4,54.0
2024-10-21,138,109,29,78.99,26,0,54.1
2024-10-23,67,46,21,68.66,28,0,54.3
2024-10-24,135,127,8,94.07,24,5,54.5
2024-10-27,86,67,19,77.91,16,9,54.6
2024-10-30,159,149,10,93.71,16,7,54.8
2024-11-02,72,47,25,65.28,24,5,55.0
2024-11-04,109,88,21,80.73,6,5,55.1
2024-11-07,73,44,29,60.27,5,8,55.3
2024-11-10,78,63,15,80.77,27,0,55.5
2024-11-12,63,40,23,63.49,10,8,55.6
2024-11-13,114,96,18,84.21,22,2,55.8
2024-11-15,101,76,25,75.25,29,4,56.0
2024-11-17,61,32,29,52.46,22,6,56.1
2024-11-20,68,55,13,80.88,23,4,56.3
2024-11-21,153,126,27,82.35,21,1,56.5
2024-11-23,159,138,21,86.79,9,0,56.6
2024-11-24,68,41,27,60.29,22,8,56.8
2024-11-25,112,91,21,81.25,20,4,57.0
2024-11-28,68,56,12,82.35,25,4,57.2
2024-11-30,140,122,18,87.14,16,2,57.3
2024-12-01,96,73,23,76.04,8,7,57.5
2024-12-04,156,128,28,82.05,20,9,57.7
2024-12-05,86,66,20,76.74,25,2,57.8
2024-12-07,73,65,8,89.04,29,8,58.0
2024-12-09,67,62,5,92.54,18,9,58.2
2024-12-10,79,71,8,89.87,21,8,58.3
2024-12-13,83,68,15,81.93,17,5,58.5
2024-12-15,134,115,19,85.82,20,5,58.7
2024-12-16,64,55,9,85.94,13,7,58.8
2024-12-19,81,52,29,64.2,9,8,59.0
2024-12-20,65,46,19,70.77,16,1,59.2
2024-12-22,154,130,24,84.42,28,5,59.3
2024-12-24,78,71,7,91.03,27,8,59.5
2024-12-26,149,135,14,90.6,28,1,59.7
2024-12-27,136,131,5,96.32,15,0,59.8
2024-12-30,151,136,15,90.07,11,7,60.0
