date,module_name,covered_line_number,total_line_number,coverage_percentage
2024/02/01,m1,125,844,14.81
2024/02/01,m2,164,183,89.62
2024/02/01,m3,107,503,21.27
2024/02/01,m4,100,300,33.33
2024/02/01,m5,176,400,44.0
2024/02/01,m6,145,218,66.51
2024/02/02,m1,113,136,83.09
2024/02/02,m2,111,162,68.52
2024/02/02,m3,122,129,94.57
2024/02/02,m4,103,147,70.07
2024/02/02,m5,188,857,21.94
2024/02/02,m6,659,687,95.92
2024/02/03,m1,168,436,38.53
2024/02/03,m2,130,234,55.56
2024/02/03,m3,297,450,66.0
2024/02/03,m4,260,709,36.67
2024/02/03,m5,171,261,65.52
2024/02/03,m6,727,840,86.55
2024/02/04,m1,397,900,44.11
2024/02/04,m2,135,158,85.44
2024/02/04,m3,756,775,97.55
2024/02/04,m4,364,447,81.43
2024/02/04,m5,108,115,93.91
2024/02/04,m6,732,939,77.96
2024/02/05,m1,105,105,100.0
2024/02/05,m2,390,462,84.42
2024/02/05,m3,237,628,37.74
2024/02/05,m4,239,495,48.28
2024/02/05,m5,889,978,90.9
2024/02/05,m6,132,187,70.59
2024/02/06,m1,362,582,62.2
2024/02/06,m2,112,123,91.06
2024/02/06,m3,393,528,74.43
2024/02/06,m4,264,930,28.39
2024/02/06,m5,750,978,76.69
2024/02/06,m6,244,902,27.05
2024/02/07,m1,398,468,85.04
2024/02/07,m2,162,361,44.88
2024/02/07,m3,102,122,83.61
2024/02/07,m4,122,271,45.02
2024/02/07,m5,703,891,78.9
2024/02/07,m6,594,828,71.74
2024/02/08,m1,656,886,74.04
2024/02/08,m2,890,915,97.27
2024/02/08,m3,441,483,91.3
2024/02/08,m4,157,969,16.2
2024/02/08,m5,203,851,23.85
2024/02/08,m6,350,734,47.68
2024/02/09,m1,260,378,68.78
2024/02/09,m2,588,671,87.63
2024/02/09,m3,176,350,50.29
2024/02/09,m4,201,439,45.79
2024/02/09,m5,168,514,32.68
2024/02/09,m6,365,547,66.73
2024/02/10,m1,147,283,51.94
2024/02/10,m2,330,563,58.61
2024/02/10,m3,121,191,63.35
2024/02/10,m4,293,723,40.53
2024/02/10,m5,105,126,83.33
2024/02/10,m6,229,252,90.87
2024/02/11,m1,323,690,46.81
2024/02/11,m2,389,492,79.07
2024/02/11,m3,517,730,70.82
2024/02/11,m4,253,712,35.53
2024/02/11,m5,290,484,59.92
2024/02/11,m6,342,591,57.87
2024/02/12,m1,620,647,95.83
2024/02/12,m2,185,553,33.45
2024/02/12,m3,312,401,77.81
2024/02/12,m4,534,558,95.7
2024/02/12,m5,116,117,99.15
2024/02/12,m6,421,632,66.61
2024/02/13,m1,273,309,88.35
2024/02/13,m2,100,106,94.34
2024/02/13,m3,184,736,25.0
2024/02/13,m4,741,921,80.46
2024/02/13,m5,356,641,55.54
2024/02/13,m6,100,839,11.92
2024/02/14,m1,164,495,33.13
2024/02/14,m2,477,746,63.94
2024/02/14,m3,156,608,25.66
2024/02/14,m4,207,262,79.01
2024/02/14,m5,317,626,50.64
2024/02/14,m6,328,605,54.21
2024/02/15,m1,194,873,22.22
2024/02/15,m2,607,950,63.89
2024/02/15,m3,112,434,25.81
2024/02/15,m4,469,972,48.25
2024/02/15,m5,131,432,30.32
2024/02/15,m6,457,957,47.75
2024/02/16,m1,779,790,98.61
2024/02/16,m2,176,909,19.36
2024/02/16,m3,209,580,36.03
2024/02/16,m4,650,823,78.98
2024/02/16,m5,274,321,85.36
2024/02/16,m6,959,990,96.87
2024/02/17,m1,740,885,83.62
2024/02/17,m2,119,287,41.46
2024/02/17,m3,231,332,69.58
2024/02/17,m4,167,807,20.69
2024/02/17,m5,172,191,90.05
2024/02/17,m6,448,719,62.31
2024/02/18,m1,432,463,93.3
2024/02/18,m2,271,520,52.12
2024/02/18,m3,292,463,63.07
2024/02/18,m4,653,721,90.57
2024/02/18,m5,190,777,24.45
2024/02/18,m6,136,347,39.19
2024/02/19,m1,185,506,36.56
2024/02/19,m2,302,590,51.19
2024/02/19,m3,229,472,48.52
2024/02/19,m4,170,240,70.83
2024/02/19,m5,144,309,46.6
2024/02/19,m6,288,514,56.03
2024/02/20,m1,194,450,43.11
2024/02/20,m2,176,270,65.19
2024/02/20,m3,412,568,72.54
2024/02/20,m4,450,594,75.76
2024/02/20,m5,425,670,63.43
2024/02/20,m6,249,497,50.1
2024/02/21,m1,133,478,27.82
2024/02/21,m2,105,192,54.69
2024/02/21,m3,522,559,93.38
2024/02/21,m4,313,559,55.99
2024/02/21,m5,112,283,39.58
2024/02/21,m6,109,757,14.4
2024/02/22,m1,130,134,97.01
2024/02/22,m2,159,244,65.16
2024/02/22,m3,485,583,83.19
2024/02/22,m4,257,515,49.9
2024/02/22,m5,323,641,50.39
2024/02/22,m6,541,570,94.91
2024/02/23,m1,639,684,93.42
2024/02/23,m2,646,775,83.35
2024/02/23,m3,132,313,42.17
2024/02/23,m4,657,985,66.7
2024/02/23,m5,193,314,61.46
2024/02/23,m6,106,136,77.94
2024/02/24,m1,128,346,36.99
2024/02/24,m2,198,311,63.67
2024/02/24,m3,208,246,84.55
2024/02/24,m4,156,241,64.73
2024/02/24,m5,214,226,94.69
2024/02/24,m6,259,303,85.48
2024/02/25,m1,100,353,28.33
2024/02/25,m2,634,696,91.09
2024/02/25,m3,295,381,77.43
2024/02/25,m4,179,934,19.16
2024/02/25,m5,672,811,82.86
2024/02/25,m6,274,416,65.87
2024/02/26,m1,135,255,52.94
2024/02/26,m2,137,448,30.58
2024/02/26,m3,100,147,68.03
