Date,Test_Executed,Test_Passed,Test_Failed,Pass_Rate(%),Open_Bugs,Critical_Bugs,Code_Coverage
2024-01-01,88,70,18,79.55,8,6,25.0
2024-01-02,103,92,11,89.32,16,6,25.2
2024-01-03,119,95,24,79.83,15,2,25.3
2024-01-05,66,46,20,69.7,6,9,25.5
2024-01-07,54,32,22,59.26,8,8,25.7
2024-01-09,112,99,13,88.39,5,3,25.8
2024-01-12,116,89,27,76.72,27,9,26.0
2024-01-15,91,66,25,72.53,25,4,26.2
2024-01-18,127,117,10,92.13,15,0,26.3
2024-01-19,72,54,18,75.0,15,4,26.5
2024-01-21,105,79,26,75.24,28,1,26.7
2024-01-24,104,81,23,77.88,10,9,26.8
2024-01-27,113,86,27,76.11,15,4,27.0
2024-01-29,98,81,17,82.65,6,1,27.2
2024-01-30,97,92,5,94.85,26,0,27.3
2024-02-02,111,92,19,82.88,14,2,27.5
2024-02-04,79,51,28,64.56,23,7,27.7
2024-02-05,65,50,15,76.92,28,6,27.8
2024-02-07,105,93,12,88.57,22,3,28.0
2024-02-10,57,32,25,56.14,19,1,28.2
2024-02-12,96,89,7,92.71,9,7,28.3
2024-02-15,122,110,12,90.16,23,9,28.5
2024-02-17,120,92,28,76.67,8,7,28.7
2024-02-19,109,88,21,80.73,23,8,28.8
2024-02-20,97,83,14,85.57,6,2,29.0
2024-02-22,100,95,5,95.0,26,6,29.2
2024-02-23,124,115,9,92.74,26,8,29.3
2024-02-25,84,62,22,73.81,6,6,29.5
2024-02-28,136,107,29,78.68,19,2,29.7
2024-02-29,65,49,16,75.38,20,5,29.8
2024-03-03,105,91,14,86.67,22,0,30.0
2024-03-05,93,82,11,88.17,11,5,30.2
2024-03-08,73,65,8,89.04,17,0,30.3
2024-03-11,128,118,10,92.19,5,4,30.5
2024-03-13,147,139,8,94.56,29,4,30.7
2024-03-16,59,36,23,61.02,28,5,30.8
2024-03-18,95,68,27,71.58,24,3,31.0
2024-03-21,89,68,21,76.4,20,6,31.2
2024-03-24,92,80,12,86.96,28,4,31.3
